longitude,latitude,Country name
79.66667,30.71667,India
77.73972,23.47944,India
77.25056,28.59333,India
77.18528,28.52583,India
76.93583,11.51028,India
84.99389,24.69528,India
77.58333333,22.92777778,India
72.83620278,18.94012222,India
73.53333333,22.48333333,India
77.24083333,28.65555556,India
75.825,26.92472222,India
77.24972222,8.529722222,India
74.64611111,24.88333333,India
72.10166667,23.85888889,India
77.58333333,31.83333333,India
85.44388889,25.13666667,India
88.37722222,27.76472222,India
72.58805556,23.02638889,India
72.83008333,18.92980556,India
75.82186111,26.92427778,India
79.94320556,18.25913333,India
70.21330278,23.88840833,India
110.20361,-7.60778,Indonesia
105.3333333,-6.75,Indonesia
119.48944,-8.54333,Indonesia
110.49167,-7.75222,Indonesia
110.8166667,-7.4,Indonesia
137.83333,-4.75,Indonesia
101.5,-2.5,Indonesia
115.4027778,-8.259166667,Indonesia
100.7378833,-0.766625556,Indonesia
48.522118,32.00857,Iran (Islamic Republic of)
52.89028,29.93444,Iran (Islamic Republic of)
51.67777778,32.65745,Iran (Islamic Republic of)
47.235,36.60388889,Iran (Islamic Republic of)
53.16729,30.19383,Iran (Islamic Republic of)
58.36666667,29.11683,Iran (Islamic Republic of)
48.79667,36.43528,Iran (Islamic Republic of)
47.43666667,34.38833333,Iran (Islamic Republic of)
45.47333333,38.97888889,Iran (Islamic Republic of)
48.83583333,32.01861111,Iran (Islamic Republic of)
48.29138889,38.24861111,Iran (Islamic Republic of)
46.29305556,38.08138889,Iran (Islamic Republic of)
53.16666667,30.16666667,Iran (Islamic Republic of)
51.68527778,32.66972222,Iran (Islamic Republic of)
55.169,37.25802778,Iran (Islamic Republic of)
51.42051111,35.68036667,Iran (Islamic Republic of)
61.32777778,30.59388889,Iran (Islamic Republic of)
55.37555556,30.16805556,Iran (Islamic Republic of)
48.25611111,32.18944444,Iran (Islamic Republic of)
58.83888889,30.21611111,Iran (Islamic Republic of)
58.65444444,34.29,Iran (Islamic Republic of)
54.36916667,31.90138889,Iran (Islamic Republic of)
51.57045,29.77748056,Iran (Islamic Republic of)
55.72427778,37.42147222,Iran (Islamic Republic of)
51.39833333,35.65830556,Iran (Islamic Republic of)
46.47785,35.10735833,Iran (Islamic Republic of)
42.71833,35.58806,Iraq
43.26111111,35.45666667,Iraq
43.82354306,34.34098944,Iraq
44.00916667,36.19111111,Iraq
47.65777778,31.56222222,Iraq
44.42083333,32.54196944,Iraq
-6.45,53.69167,Ireland
-10.53861,51.77194,Ireland
35.35275,31.3135,Israel
35.08388889,32.92833333,Israel
34.78333333,32.06666667,Israel
35.16083,30.54111,Israel
35.18222,32.59722,Israel
34.97164889,32.82939667,Israel
34.96527778,32.67,Israel
34.89555556,31.6,Israel
35.12694444,32.70222222,Israel
10.29733333,45.95705556,Italy
9.1705,45.46588889,Italy
11.25611,43.77306,Italy
12.33894444,45.43430556,Italy
10.39638889,43.72305556,Italy
11.04167,43.46806,Italy
16.61027778,40.66638889,Italy
11.54944444,45.54916667,Italy
11.33166667,43.31861111,Italy
14.26277778,40.85138889,Italy
9.53833,45.59333,Italy
11.61944444,44.83777778,Italy
16.27094444,41.08480556,Italy
17.23694,40.7825,Italy
12.19625,44.42041667,Italy
11.67861111,43.07694444,Italy
14.32639,41.07333,Italy
7.68572,45.07253,Italy
11.88066667,45.39911111,Italy
9.72917,44.10694,Italy
10.92568,44.64624,Italy
14.48333333,40.75,Italy
14.60277778,40.63333333,Italy
13.59333333,37.28972222,Italy
14.33417,37.36611,Italy
8.991388889,39.70583333,Italy
13.3675,45.76833333,Italy
12.63333,43.725,Italy
15.26666667,40.28333333,Italy
12.77197222,41.94416667,Italy
10.99388889,45.43861111,Italy
14.94558333,38.48786111,Italy
12.62244444,43.06616667,Italy
12.79625,41.96391667,Italy
15.06891667,36.89319444,Italy
9.169555556,45.97455556,Italy
11.55,43.06666667,Italy
12.10188889,42.00683333,Italy
15.29306,37.05944,Italy
8.931111111,44.41222222,Italy
10.79444444,45.15944444,Italy
12.16305556,46.61305556,Italy
13.43305556,46.09416667,Italy
11.30416667,43.85777778,Italy
14.99666667,37.75611111,Italy
7.963611111,44.60861111,Italy
13.35305556,38.11083333,Italy
7.869166667,45.4575,Italy
12.22611111,45.95302778,Italy
11.87961111,45.41188889,Italy
11.33277778,44.49138889,Italy
-76.57111111,18.0775,Jamaica
135.7333333,34.61666667,Japan
134.7,34.83333333,Japan
130.5086111,30.315,Japan
140.1155556,40.4525,Japan
135.7694444,34.98055556,Japan
136.8833333,36.4,Japan
132.453611,34.395556,Japan
132.3246389,34.29441667,Japan
135.8394444,34.67555556,Japan
139.6105556,36.7475,Japan
127.6827778,26.20861111,Japan
135.7763889,33.83694444,Japan
144.96583,43.94944,Japan
132.435,35.11277778,Japan
141.1077778,39.00111111,Japan
142.0997222,27.71833333,Japan
138.7275,35.36083333,Japan
138.8877778,36.25527778,Japan
131.4122222,34.43055556,Japan
130.1055556,34.245,Japan
128.9038889,32.80222222,Japan
135.6094444,34.56222222,Japan
129.3783333,28.27916667,Japan
140.5522167,41.06555556,Japan
35.21666667,31.78333333,Jerusalem (Site proposed by Jordan)
35.44333,30.33056,Jordan
36.58730556,31.80180556,Jordan
35.92056,31.50167,Jordan
35.43388889,29.63972222,Jordan
35.55277778,31.83722222,Jordan
35.72830556,32.04261111,Jordan
68.27105556,43.29769444,Kazakhstan
75.535,43.80333333,Kazakhstan
69.18888889,50.43333333,Kazakhstan
37.31555556,-0.155,Kenya
36.50366667,3.051305556,Kenya
40.8525,-2.284444444,Kenya
39.59611111,-3.931944444,Kenya
36.24,-0.4425,Kenya
39.67944444,-4.062777778,Kenya
34.326107,-0.891338056,Kenya
-172.650203,-3.864454,Kiribati
72.78277778,40.53111111,Kyrgyzstan
102.13333,19.88889,Lao People's Democratic Republic
105.8222222,14.84833333,Lao People's Democratic Republic
103.1522222,19.43105556,Lao People's Democratic Republic
24.11667,56.95417,Latvia
35.92972,33.72583,Lebanon
36.20494,34.00707,Lebanon
35.6475,34.11917,Lebanon
35.19444,33.27194,Lebanon
36.04889,34.24333,Lebanon
14.29306,32.63833,Libya
12.485,32.80528,Libya
21.85833,32.825,Libya
10.33333,24.83333,Libya
9.5,30.13333333,Libya
25.29306,54.68667,Lithuania
24.83055556,54.88777778,Lithuania
6.13333,49.61,Luxembourg
44.75,-18.66667,Madagascar
47.56278,-18.75917,Madagascar
49.7025,-14.45972222,Madagascar
34.88333,-14.03333,Malawi
34.27916667,-14.29333333,Malawi
116.5,6.25,Malaysia
114.91667,4.13333,Malaysia
100.3458333,5.421388889,Malaysia
100.9723278,5.067908333,Malaysia
-4.555,13.90639,Mali
-2.999444444,16.77333333,Mali
-3.41667,14.33333,Mali
-0.04456,16.2898,Mali
14.50739,35.87134,Malta
14.51444,35.90056,Malta
14.26947,36.04908,Malta
165.3805556,11.6,Marshall Islands
-16.10889,20.23472,Mauritania
-11.62361,20.92889,Mauritania
57.50316667,-20.15863889,Mauritius
57.32833333,-20.45194444,Mauritius
-87.79167,19.38333,Mexico
-92.05,17.48333,Mexico
-99.13278,19.41833,Mexico
-98.84167,19.69167,Mexico
-96.725885,17.061579,Mexico
-98.197769,19.045967,Mexico
-101.25556,21.01694,Mexico
-88.568654,20.682739,Mexico
-101.190376,19.700927,Mexico
-97.377642,20.446095,Mexico
-114.22778,27.79222,Mexico
-102.573531,22.775484,Mexico
-113.020427,27.626963,Mexico
-98.89777778,18.93472222,Mexico
-89.77027778,20.36166667,Mexico
-100.392135,20.593292,Mexico
-103.337798,20.676888,Mexico
-107.948122,30.367128,Mexico
-95.658676,18.613459,Mexico
-90.53722,19.84639,Mexico
-99.29639,18.803972,Mexico
-89.73728333,18.05302778,Mexico
-99.46411111,21.20438889,Mexico
-99.19235334,19.41119788,Mexico
-112.54583,27.62667,Mexico
-103.7786111,20.86305556,Mexico
-99.18805556,19.33222222,Mexico
-100.7463889,20.91444444,Mexico
-100.2416667,19.60638889,Mexico
-102.3791667,22.60805556,Mexico
-96.42111111,16.95083333,Mexico
-113.9166667,32,Mexico
-98.66256667,19.83527778,Mexico
-110.9752778,18.78805556,Mexico
-97.18715278,17.98996111,Mexico
158.3308333,6.839722222,Micronesia (Federated States of)
102.678482,47.479214,Mongolia
88.39527778,49.33388889,Mongolia
109.0093278,48.76197778,Mongolia
18.7,42.48333,Montenegro
19.0166,43.133,Montenegro
-4.97778,34.06111,Morocco
-7.98667,31.63139,Morocco
-7.12889,31.04722,Morocco
-5.55833,33.88333,Morocco
-5.55694,34.07389,Morocco
-5.36667,35.57083,Morocco
-9.770305556,31.51411111,Morocco
-8.50194,33.25667,Morocco
-6.822777778,34.02416667,Morocco
40.73583,-15.03417,Mozambique
95.81861111,22.47,Myanmar
94.88444444,21.14888889,Myanmar
14.37258333,-20.59558333,Namibia
15.40777778,-24.88527778,Namibia
86.91306,27.96528,Nepal
85.30858,27.70395,Nepal
84.33333,27.5,Nepal
83.27611,27.46889,Nepal
5.771666667,52.63861111,Netherlands
4.791388889,52.555,Netherlands
4.649444444,51.8825,Netherlands
-68.90222,12.10194,Netherlands
5.67889,52.84583,Netherlands
4.911111111,52.54888889,Netherlands
5.147555556,52.08533333,Netherlands
4.887777778,52.365,Netherlands
4.418333333,51.92333333,Netherlands
175.5622222,-39.29083333,New Zealand
167.3196111,-45.03602778,New Zealand
166.1044444,-50.75,New Zealand
-86.616336,12.40047,Nicaragua
-86.87805556,12.435,Nicaragua
9,18,Niger
7.991388889,16.97361111,Niger
13.57194,10.74056,Nigeria
4.55222,7.75556,Nigeria
7.33333,61.3,Norway
5.32306,60.39722,Norway
11.38555556,62.57388889,Norway
23.18333,69.95,Norway
11.75,65.61667,Norway
7.16667,62.11667,Norway
8.593611111,59.87861111,Norway
57.30111,22.96417,Oman
56.745,23.26986,Oman
53.64759,18.25333,Oman
57.53605556,22.99888889,Oman
59.37811111,22.69522222,Oman
68.13888889,27.32916667,Pakistan
72.8875,33.77916667,Pakistan
71.94583333,34.32083333,Pakistan
67.9,24.76666667,Pakistan
74.30972222,31.59027778,Pakistan
73.58888889,32.9625,Pakistan
134.3525,7.246925,Palau
35.2075,31.70435278,Palestine
35.13055556,31.71972222,Palestine
35.10888889,31.52416667,Palestine
-79.65583333,9.553888889,Panama
-77.54722222,7.736111111,Panama
-79.54055556,8.951111111,Panama
-81.766,7.433,Panama
144.3317222,-5.783711111,Papua New Guinea
-55.702672,-27.131613,Paraguay
-71.980004,-13.517276,Peru
-72.533443,-13.184934,Peru
-77.1784535,-9.592772544,Peru
-77.4,-9.33333,Peru
-79.074737,-8.107836,Peru
-71.75,-12.25,Peru
-77.0304,-12.046542,Peru
-77.25,-7.75,Peru
-75.14861,-14.72583,Peru
-71.536777,-16.398353,Peru
-77.52138889,-10.89166667,Peru
-78.23591667,-9.556861111,Peru
119.8675,8.953333333,Philippines
120.97,14.59,Philippines
121.13667,16.93389,Philippines
120.3875,17.575,Philippines
118.9166667,10.16666667,Philippines
126.1734306,6.717169444,Philippines
19.93722222,50.06138889,Poland
20.06388889,49.97916667,Poland
19.175,50.03888889,Poland
21.01167,52.26639,Poland
23.26667,50.71667,Poland
18.61944,53.01,Poland
19.03333333,54.04166667,Poland
19.66666667,49.86666667,Poland
16.19594444,51.05427778,Poland
21.23333333,49.75,Poland
17.07701389,51.10694722,Poland
18.85122778,50.44269722,Poland
21.50230556,50.96797222,Poland
-27.22,38.655,Portugal
-9.21583,38.69194,Portugal
-8.82694,39.65778,Portugal
-8.4175,39.60472,Portugal
-7.90778,38.57306,Portugal
-8.97667,39.55,Portugal
-9.41667,38.78333,Portugal
-8.616666667,41.14166667,Portugal
-17,32.76666667,Portugal
-8.292803,41.443731,Portugal
-7.798888889,41.10166667,Portugal
-28.54116667,38.51344444,Portugal
-7.163322222,38.88061944,Portugal
-8.425775,40.20781111,Portugal
-9.325527778,38.93716667,Portugal
-8.377027778,41.55494444,Portugal
51.02972222,25.97805556,Qatar
129.349029,35.791498,Republic of Korea
